"Bevolkingsontwikkeling; regio per maand"
""
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Veldhoven";"Bevolking aan het einde van de periode";"aantal";"42795";"42545";"42763";"43716";"43284";"43056";"43007";"43243";"43592";"43880";"44092";"44155";"44166";"44317";"44724";"44925";"45337";"45466";"45500";"45822";"46417";"46827";"47601"
"Velsen";"Bevolking aan het einde van de periode";"aantal";"67527";"67642";"67516";"67678";"67635";"67556";"67528";"67281";"67347";"67286";"67122";"67220";"67166";"67448";"67619";"67831";"68348";"68648";"68617";"68482";"68790";"69241";"70026"
"Venhuizen";"Bevolking aan het einde van de periode";"aantal";"7879";"7812";"7796";"7832";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Venlo";"Bevolking aan het einde van de periode";"aantal";"91780";"92094";"92263";"92052";"92091";"91872";"91467";"91633";"99793";"100027";"100159";"100428";"100536";"100371";"101059";"101192";"101603";"101802";"101988";"102136";"103328";"103789";"103984"
"Venray";"Bevolking aan het einde van de periode";"aantal";"39122";"39085";"39114";"39043";"39069";"39100";"39224";"39214";"42784";"42959";"43038";"43112";"43202";"43291";"43565";"43341";"43326";"43614";"43713";"43964";"44628";"44662";"44807"
"Vianen";"Bevolking aan het einde van de periode";"aantal";"19743";"19837";"19781";"19694";"19688";"19637";"19684";"19647";"19683";"19670";"19670";"19596";"19632";"19513";"19714";"19967";"20444";"";"";"";"";"";""
"Vijfheerenlanden";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"56811";"57829";"58788";"60052";"61669";"62554"
"Vlaardingen";"Bevolking aan het einde van de periode";"aantal";"74322";"74058";"73394";"72553";"71461";"70860";"70433";"70533";"71269";"71042";"70905";"70981";"71645";"71808";"71999";"72050";"72404";"73397";"73924";"74143";"75079";"76409";"77260"
"Vlagtwedde";"Bevolking aan het einde van de periode";"aantal";"16663";"16973";"16525";"16614";"16600";"16325";"16268";"16260";"16290";"16260";"16132";"15905";"16212";"16422";"15908";"15868";"";"";"";"";"";"";""
"Vlieland";"Bevolking aan het einde van de periode";"aantal";"1240";"1157";"1133";"1127";"1137";"1124";"1146";"1160";"1151";"1105";"1114";"1110";"1103";"1083";"1085";"1132";"1138";"1155";"1194";"1195";"1291";"1255";"1217"
"Vlissingen";"Bevolking aan het einde van de periode";"aantal";"45199";"45236";"45372";"45073";"45023";"44798";"44712";"44645";"44536";"44502";"44451";"44444";"44485";"44451";"44394";"44485";"44371";"44360";"44358";"44585";"45150";"45389";"45755"
"Vlist";"Bevolking aan het einde van de periode";"aantal";"9800";"9803";"9793";"9819";"9803";"9853";"9808";"9753";"9806";"9773";"9730";"9694";"9740";"";"";"";"";"";"";"";"";"";""
"Voerendaal";"Bevolking aan het einde van de periode";"aantal";"13087";"12996";"12953";"12959";"12848";"12757";"12749";"12703";"12664";"12664";"12617";"12454";"12397";"12482";"12462";"12390";"12452";"12475";"12466";"12426";"12405";"12375";"12583"
"Voorhout";"Bevolking aan het einde van de periode";"aantal";"14444";"14792";"14918";"14923";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Voorne aan Zee";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"74304";"74527"
"Voorschoten";"Bevolking aan het einde van de periode";"aantal";"22542";"22505";"22712";"22887";"22785";"22861";"22996";"23462";"23865";"24310";"24658";"24951";"25150";"25211";"25315";"25453";"25479";"25596";"25650";"25627";"25665";"25625";"25900"
"Voorst";"Bevolking aan het einde van de periode";"aantal";"23602";"23639";"23557";"23522";"23510";"23660";"23706";"23772";"23703";"23719";"23724";"23767";"23913";"23984";"24199";"24310";"24417";"24552";"24790";"24994";"25215";"25377";"25567"
"Vorden";"Bevolking aan het einde van de periode";"aantal";"8478";"8406";"8482";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Vriezenveen";"Bevolking aan het einde van de periode";"aantal";"33427";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Vught";"Bevolking aan het einde van de periode";"aantal";"25273";"25157";"25239";"25235";"25239";"25337";"25288";"25400";"25654";"25789";"25564";"25638";"25853";"25973";"26183";"26418";"26396";"26558";"26766";"31783";"32113";"32356";"33010"
"Waadhoeke";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"46039";"46090";"46149";"46309";"46718";"46911";"46857"
"Waalre";"Bevolking aan het einde van de periode";"aantal";"16339";"16502";"16477";"16487";"16521";"16695";"16543";"16533";"16482";"16503";"16725";"16765";"16874";"17023";"16898";"17075";"17247";"17456";"17544";"17626";"17980";"17988";"17898"
"Waalwijk";"Bevolking aan het einde van de periode";"aantal";"45584";"45622";"45708";"45762";"45667";"45641";"45744";"45751";"46211";"46422";"46438";"46498";"46713";"47021";"47410";"47725";"48240";"48637";"48815";"49342";"49952";"50302";"51241"
"Waddinxveen";"Bevolking aan het einde van de periode";"aantal";"26797";"26304";"26217";"26062";"25896";"25638";"25436";"25400";"25337";"25280";"25217";"25508";"25657";"26072";"26536";"27578";"28316";"29291";"30479";"31342";"32601";"34000";"35031"
"Wageningen";"Bevolking aan het einde van de periode";"aantal";"34841";"35137";"35219";"35315";"35680";"36215";"36695";"37359";"36642";"37049";"37408";"37429";"37786";"37837";"38458";"38412";"38774";"39664";"39635";"39939";"40960";"42579";"42790"
"Warmond";"Bevolking aan het einde van de periode";"aantal";"4985";"4977";"4901";"4956";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Warnsveld";"Bevolking aan het einde van de periode";"aantal";"9037";"9223";"9201";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Wassenaar";"Bevolking aan het einde van de periode";"aantal";"25662";"25506";"25557";"25622";"25608";"25763";"25909";"25816";"25830";"25762";"25656";"25675";"25731";"25885";"26055";"26084";"26211";"26305";"26949";"27115";"27093";"27100";"27525"
"Wateringen";"Bevolking aan het einde van de periode";"aantal";"16316";"16629";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Waterland";"Bevolking aan het einde van de periode";"aantal";"17150";"17266";"17343";"17267";"17183";"17026";"16954";"17057";"17140";"17010";"17091";"17134";"17143";"17304";"17290";"17259";"17315";"17424";"17312";"17343";"17609";"17525";"17556"
"Weert";"Bevolking aan het einde van de periode";"aantal";"48785";"48724";"48707";"48575";"48484";"48305";"48332";"48456";"48563";"48668";"48587";"48721";"48914";"49100";"49574";"49855";"49842";"50105";"50011";"50346";"50872";"51079";"51355"
"Weesp";"Bevolking aan het einde van de periode";"aantal";"17885";"17843";"17671";"17533";"17556";"17575";"17577";"17636";"17987";"18022";"18151";"18172";"18348";"18572";"18751";"19147";"19334";"19738";"20445";"20766";"";"";""
"Wehl";"Bevolking aan het einde van de periode";"aantal";"6771";"6757";"6803";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Werkendam";"Bevolking aan het einde van de periode";"aantal";"26384";"26373";"26518";"26521";"26519";"26415";"26409";"26371";"26353";"26423";"26405";"26387";"26452";"26527";"26844";"26979";"27295";"";"";"";"";"";""
"Wervershoof";"Bevolking aan het einde van de periode";"aantal";"8470";"8485";"8557";"8559";"8527";"8600";"8705";"8780";"8746";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"West Betuwe";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"51128";"51496";"51971";"52720";"52948";"53253"
"West Maas en Waal";"Bevolking aan het einde van de periode";"aantal";"18202";"18232";"18315";"18376";"18261";"18320";"18374";"18413";"18301";"18325";"18410";"18419";"18570";"18693";"18820";"18891";"19076";"19324";"19581";"19675";"20065";"20330";"20594"
"Wester-Koggenland";"Bevolking aan het einde van de periode";"aantal";"13765";"13901";"14043";"14189";"14294";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Westerkwartier";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63329";"63678";"64306";"64946";"64896";"64841"
"Westerveld";"Bevolking aan het einde van de periode";"aantal";"19097";"19036";"19131";"19256";"19287";"19333";"19302";"19342";"19365";"19198";"19091";"18933";"19085";"18940";"19084";"19152";"19348";"19460";"19661";"19854";"19860";"20003";"19983"
"Westervoort";"Bevolking aan het einde van de periode";"aantal";"16162";"16068";"15945";"15730";"15599";"15478";"15277";"15237";"15336";"15294";"15199";"15138";"14992";"15001";"14991";"15015";"14944";"14971";"15014";"14944";"15114";"15151";"15205"
"Westerwolde";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"25199";"25733";"26215";"26571";"26537";"26465";"27421"
"Westland";"Bevolking aan het einde van de periode";"aantal";"";"";"97858";"98328";"98869";"99299";"99436";"99717";"99776";"101980";"102698";"103241";"104302";"104960";"105632";"107492";"108603";"110375";"111382";"112448";"114887";"115941";"116916"
"Weststellingwerf";"Bevolking aan het einde van de periode";"aantal";"25802";"25990";"25958";"25507";"25500";"25674";"25802";"25829";"25846";"25780";"25595";"25454";"25525";"25520";"25608";"25720";"25840";"25914";"26130";"26278";"26467";"26487";"26596"
"Westvoorne";"Bevolking aan het einde van de periode";"aantal";"14243";"14265";"14243";"14224";"14128";"14084";"14031";"14057";"13992";"13901";"13890";"13964";"14083";"14197";"14257";"14508";"14626";"14731";"14900";"14960";"14991";"";""
"Wierden";"Bevolking aan het einde van de periode";"aantal";"23444";"23343";"23493";"23540";"23439";"23365";"23462";"23447";"23630";"23824";"23807";"23909";"23874";"23952";"24225";"24258";"24351";"24446";"24538";"24643";"24862";"24931";"25342"
"Wieringen";"Bevolking aan het einde van de periode";"aantal";"8358";"8451";"8582";"8693";"8707";"8636";"8674";"8644";"8619";"8562";"";"";"";"";"";"";"";"";"";"";"";"";""
"Wieringermeer";"Bevolking aan het einde van de periode";"aantal";"12626";"12583";"12496";"12555";"12668";"12614";"12559";"12580";"12576";"12565";"";"";"";"";"";"";"";"";"";"";"";"";""
"Wijchen";"Bevolking aan het einde van de periode";"aantal";"39564";"39878";"39912";"39509";"39479";"39660";"39948";"40148";"40507";"40734";"41004";"41043";"40886";"40814";"40876";"40847";"40951";"41110";"41261";"41344";"41537";"41545";"41836"
"Wijdemeren";"Bevolking aan het einde van de periode";"aantal";"23237";"23333";"23298";"23435";"23571";"23432";"23327";"23391";"23312";"23301";"23221";"23187";"23176";"23275";"23447";"23659";"24013";"24358";"24463";"24494";"24659";"24605";"24670"
"Wijk bij Duurstede";"Bevolking aan het einde van de periode";"aantal";"23330";"23511";"23580";"23464";"23366";"23306";"23252";"23157";"23115";"23064";"23035";"23043";"23222";"23384";"23502";"23678";"23762";"23914";"23925";"23921";"23995";"23945";"23831"
"Winschoten";"Bevolking aan het einde van de periode";"aantal";"18494";"18500";"18458";"18501";"18476";"18358";"18322";"18271";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Winsum";"Bevolking aan het einde van de periode";"aantal";"14204";"14257";"14321";"14021";"14003";"13925";"14084";"14073";"14054";"13987";"13906";"13850";"13774";"13633";"13596";"13560";"13505";"";"";"";"";"";""
"Winterswijk";"Bevolking aan het einde van de periode";"aantal";"28975";"29299";"29275";"29137";"29249";"29182";"29028";"29051";"29026";"28946";"28967";"28881";"28977";"28939";"28912";"28987";"28903";"28854";"29022";"29185";"29253";"29231";"29232"
"Wisch";"Bevolking aan het einde van de periode";"aantal";"19573";"19534";"19481";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Woensdrecht";"Bevolking aan het einde van de periode";"aantal";"21557";"21415";"21217";"21141";"21497";"21637";"21700";"21635";"21682";"21675";"21648";"21621";"21644";"21682";"21837";"21800";"21866";"21876";"22028";"22112";"22191";"22208";"22194"
"Woerden";"Bevolking aan het einde van de periode";"aantal";"47762";"48096";"48118";"47912";"48016";"48383";"48885";"49334";"49748";"50052";"50346";"50577";"50631";"51161";"51513";"51758";"52197";"52299";"52694";"52882";"53244";"53724";"53976"
"Wognum";"Bevolking aan het einde van de periode";"aantal";"8132";"8081";"8130";"8192";"8229";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"De Wolden";"Bevolking aan het einde van de periode";"aantal";"23969";"23850";"23844";"23787";"23602";"23554";"23544";"23576";"23637";"23753";"23761";"23583";"23661";"23722";"23744";"23917";"24110";"24330";"24374";"24511";"24602";"24580";"24672"
"Wormerland";"Bevolking aan het einde van de periode";"aantal";"15510";"15765";"15836";"15796";"15856";"15901";"15900";"15862";"15801";"15781";"15740";"15777";"15740";"15664";"15820";"15995";"16329";"16270";"16333";"16381";"16612";"16552";"16421"
"Woudenberg";"Bevolking aan het einde van de periode";"aantal";"11151";"11228";"11237";"11211";"11403";"11592";"11744";"11905";"12008";"12034";"12321";"12422";"12487";"12550";"12701";"13021";"13166";"13362";"13639";"13873";"14358";"14637";"14760"
"Woudrichem";"Bevolking aan het einde van de periode";"aantal";"14408";"14307";"14404";"14390";"14328";"14421";"14378";"14430";"14423";"14416";"14443";"14425";"14388";"14518";"14539";"14634";"14770";"";"";"";"";"";""
"Wûnseradiel";"Bevolking aan het einde van de periode";"aantal";"11935";"11939";"11881";"11891";"11897";"11855";"11849";"11829";"11849";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Wymbritseradiel";"Bevolking aan het einde van de periode";"aantal";"16204";"16312";"16354";"16213";"16163";"16078";"16051";"16138";"16078";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Zaanstad";"Bevolking aan het einde van de periode";"aantal";"139464";"139774";"139817";"140270";"141402";"142863";"144055";"145332";"146940";"148281";"149622";"150598";"151418";"152466";"153679";"154865";"155885";"156794";"156901";"157166";"159618";"161389";"162828"
"Zaltbommel";"Bevolking aan het einde van de periode";"aantal";"25999";"26191";"26145";"26191";"26194";"26185";"26218";"26428";"26643";"26774";"26953";"27182";"27358";"27543";"27728";"28014";"28451";"28881";"29447";"29957";"30349";"30385";"30412"
"Zandvoort";"Bevolking aan het einde van de periode";"aantal";"16864";"16866";"16709";"16651";"16599";"16665";"16607";"16632";"16632";"16651";"16593";"16575";"16692";"16792";"16899";"16970";"17011";"17116";"17168";"17107";"17542";"17469";"17374"
"Zederik";"Bevolking aan het einde van de periode";"aantal";"13556";"13546";"13553";"13499";"13467";"13389";"13399";"13397";"13342";"13434";"13538";"13656";"13717";"13718";"13842";"14004";"14020";"";"";"";"";"";""
"Zeevang";"Bevolking aan het einde van de periode";"aantal";"6324";"6323";"6268";"6274";"6318";"6306";"6297";"6307";"6350";"6344";"6317";"6341";"6306";"6241";"";"";"";"";"";"";"";"";""
"Zeewolde";"Bevolking aan het einde van de periode";"aantal";"19398";"19180";"19120";"19421";"19704";"20286";"20773";"20906";"21106";"21288";"21262";"21499";"21894";"22113";"22457";"22407";"22309";"22653";"22879";"23348";"23692";"23899";"24291"
"Zeist";"Bevolking aan het einde van de periode";"aantal";"59799";"60373";"60408";"60369";"60326";"60488";"60383";"60286";"60824";"61233";"61420";"61250";"61641";"62258";"62830";"63322";"63934";"64905";"65043";"65987";"66629";"66641";"66671"
"Zelhem";"Bevolking aan het einde van de periode";"aantal";"11214";"11269";"11295";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Zevenaar";"Bevolking aan het einde van de periode";"aantal";"25965";"26014";"26253";"31680";"31884";"31816";"31809";"31907";"32234";"32429";"32405";"32283";"32265";"32269";"32379";"32592";"43488";"43750";"44096";"44645";"45042";"45041";"45215"
"Zevenhuizen-Moerkapelle";"Bevolking aan het einde van de periode";"aantal";"10150";"10198";"10270";"10325";"10369";"10314";"10402";"10531";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Zijpe";"Bevolking aan het einde van de periode";"aantal";"11314";"11381";"11484";"11558";"11558";"11512";"11566";"11587";"11577";"11589";"11519";"";"";"";"";"";"";"";"";"";"";"";""
"Zoetermeer";"Bevolking aan het einde van de periode";"aantal";"112594";"114216";"115792";"116979";"118024";"119504";"120881";"121532";"121911";"122331";"123092";"123561";"124025";"124107";"124763";"124695";"124944";"125285";"125267";"125767";"126998";"128434";"129862"
"Zoeterwoude";"Bevolking aan het einde van de periode";"aantal";"8593";"8526";"8509";"8501";"8400";"8303";"8193";"8118";"8130";"8171";"8122";"8075";"8114";"8119";"8367";"8430";"8450";"8605";"8843";"9302";"9443";"9732";"10141"
"Zuidhorn";"Bevolking aan het einde van de periode";"aantal";"18109";"18150";"18287";"18459";"18465";"18374";"18478";"18568";"18631";"18681";"18699";"18775";"18733";"18794";"18859";"18917";"19066";"";"";"";"";"";""
"Zuidplas";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"";"";"";"";"40521";"40673";"40779";"40892";"40771";"40937";"41468";"41882";"42762";"43885";"45064";"45794";"46981";"47843";"48726"
"Zundert";"Bevolking aan het einde van de periode";"aantal";"20386";"20431";"20554";"20797";"20849";"20947";"21083";"21025";"21163";"21221";"21241";"21399";"21363";"21488";"21657";"21525";"21612";"21829";"21988";"22260";"22518";"22553";"22809"
"Zutphen";"Bevolking aan het einde van de periode";"aantal";"36924";"36552";"36936";"46642";"46635";"46762";"46953";"46870";"47084";"47144";"47240";"47164";"46849";"46997";"47340";"47537";"47609";"47934";"48111";"48330";"48510";"48752";"49028"
"Zwartewaterland";"Bevolking aan het einde van de periode";"aantal";"22206";"22034";"21877";"21872";"21919";"21930";"21944";"21935";"22018";"22048";"22139";"22167";"22166";"22278";"22309";"22468";"22503";"22685";"22823";"23012";"23368";"23448";"23507"
"Zwijndrecht";"Bevolking aan het einde van de periode";"aantal";"41374";"45384";"45209";"44588";"44400";"44472";"44312";"44404";"44445";"44499";"44610";"44547";"44501";"44454";"44417";"44586";"44639";"44737";"44775";"44789";"45018";"44874";"44669"
"Zwolle";"Bevolking aan het einde van de periode";"aantal";"109955";"110880";"111900";"113078";"114635";"116365";"117703";"119030";"120355";"121527";"122562";"123159";"123861";"124896";"125548";"126116";"127497";"128840";"129840";"130668";"132411";"133141";"133810"
"Bron: CBS"
