"Bevolkingsontwikkeling; regio per maand"
""
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Beverwijk";"Bevolking aan het einde van de periode";"aantal";"36409";"36995";"36860";"36499";"36835";"37347";"38284";"38883";"39329";"39844";"40070";"40093";"40182";"40318";"40709";"41077";"41176";"41626";"41863";"42084";"42711";"42866";"43040"
"het Bildt";"Bevolking aan het einde van de periode";"aantal";"10545";"10949";"10968";"11013";"10963";"10933";"10887";"10908";"10937";"10798";"10646";"10626";"10592";"10525";"10493";"10560";"";"";"";"";"";"";""
"De Bilt";"Bevolking aan het einde van de periode";"aantal";"42308";"42208";"42195";"42037";"42016";"41998";"41984";"42017";"42049";"42079";"42032";"42036";"42169";"42375";"42754";"42846";"42824";"43137";"43384";"43508";"43884";"43718";"43792"
"Binnenmaas";"Bevolking aan het einde van de periode";"aantal";"19211";"19245";"19481";"19636";"19614";"28797";"28862";"28926";"28967";"28962";"28964";"28710";"28656";"28771";"29122";"29098";"29292";"";"";"";"";"";""
"Bladel";"Bevolking aan het einde van de periode";"aantal";"19092";"19153";"19135";"19130";"19058";"19114";"19129";"19177";"19386";"19582";"19635";"19834";"19869";"19966";"20063";"20144";"20175";"20390";"20529";"20718";"21009";"20985";"21006"
"Blaricum";"Bevolking aan het einde van de periode";"aantal";"9309";"9257";"9179";"9114";"9112";"9036";"8987";"8955";"8959";"9038";"9107";"9094";"9312";"9622";"10201";"10795";"11202";"11540";"11954";"12359";"12490";"12724";"12947"
"Bleiswijk";"Bevolking aan het einde van de periode";"aantal";"10349";"10449";"10317";"10231";"10377";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Bloemendaal";"Bevolking aan het einde van de periode";"aantal";"17045";"16922";"17005";"16974";"17028";"16873";"16884";"22023";"22039";"22056";"22195";"22059";"22256";"22296";"22826";"23208";"23410";"23571";"23478";"23732";"23922";"23786";"23592"
"Boarnsterhim";"Bevolking aan het einde van de periode";"aantal";"18980";"19108";"19227";"19212";"19314";"19270";"19306";"19357";"19298";"19380";"19505";"19478";"";"";"";"";"";"";"";"";"";"";""
"Bodegraven";"Bevolking aan het einde van de periode";"aantal";"19562";"19478";"19415";"19361";"19366";"19423";"19470";"19447";"19432";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Bodegraven-Reeuwijk";"Bevolking aan het einde van de periode";"aantal";"";"";"";"";"";"";"";"";"";"32834";"32817";"32910";"33208";"33451";"33733";"33948";"34462";"34872";"35278";"35752";"36308";"36569";"37209"
