"ID";"RegioS";"Perioden";"BevolkingAanHetBeginVanDePeriode_1";"BevolkingAanHetEindeVanDePeriode_15"
"21578";"GM0484";"2024JJ00";"114966";"115773"
"21596";"GM1723";"2002JJ00";"9447";"9413"
"21609";"GM1723";"2003JJ00";"9413";"9414"
"21622";"GM1723";"2004JJ00";"9414";"9513"
"21635";"GM1723";"2005JJ00";"9513";"9491"
"21648";"GM1723";"2006JJ00";"9491";"9461"
"21661";"GM1723";"2007JJ00";"9461";"9455"
"21674";"GM1723";"2008JJ00";"9455";"9421"
"21687";"GM1723";"2009JJ00";"9421";"9436"
"21700";"GM1723";"2010JJ00";"9436";"9466"
"21713";"GM1723";"2011JJ00";"9466";"9525"
"21726";"GM1723";"2012JJ00";"9525";"9640"
"21739";"GM1723";"2013JJ00";"9640";"9717"
"21752";"GM1723";"2014JJ00";"9717";"9753"
"21765";"GM1723";"2015JJ00";"9753";"9924"
"21778";"GM1723";"2016JJ00";"9924";"10058"
"21791";"GM1723";"2017JJ00";"10058";"10083"
"21804";"GM1723";"2018JJ00";"10083";"10149"
"21817";"GM1723";"2019JJ00";"10149";"10203"
"21830";"GM1723";"2020JJ00";"10203";"10373"
"21843";"GM1723";"2021JJ00";"10373";"10425"
"21856";"GM1723";"2022JJ00";"10425";"10463"
"21869";"GM1723";"2023JJ00";"10463";"10455"
"21882";"GM1723";"2024JJ00";"10455";"10539"
"21900";"GM1959";"2002JJ00";;
"21913";"GM1959";"2003JJ00";;
"21926";"GM1959";"2004JJ00";;
"21939";"GM1959";"2005JJ00";;
"21952";"GM1959";"2006JJ00";;
"21965";"GM1959";"2007JJ00";;
"21978";"GM1959";"2008JJ00";;
"21991";"GM1959";"2009JJ00";;
"22004";"GM1959";"2010JJ00";;
"22017";"GM1959";"2011JJ00";;
"22030";"GM1959";"2012JJ00";;
"22043";"GM1959";"2013JJ00";;
"22056";"GM1959";"2014JJ00";;
"22069";"GM1959";"2015JJ00";;
"22082";"GM1959";"2016JJ00";;
"22095";"GM1959";"2017JJ00";;
"22108";"GM1959";"2018JJ00";;
"22121";"GM1959";"2019JJ00";"55386";"55967"
"22134";"GM1959";"2020JJ00";"55967";"56352"
"22147";"GM1959";"2021JJ00";"56352";"57009"
"22160";"GM1959";"2022JJ00";"57009";"57726"
"22173";"GM1959";"2023JJ00";"57726";"58277"
"22186";"GM1959";"2024JJ00";"58277";"58726"
"22204";"GM1679";"2002JJ00";"11037";"10994"
"22217";"GM1679";"2003JJ00";"10994";"10989"
"22230";"GM1679";"2004JJ00";"10989";"10918"
